OID,Value,Count,year
0,-139,23,2018
1,-138,30,2018
2,-137,20,2018
3,-136,48,2018
4,-135,25,2018
5,-134,31,2018
6,-133,19,2018
7,-132,23,2018
8,-131,24,2018
9,-130,30,2018
10,-129,12,2018
11,-128,29,2018
12,-127,24,2018
13,-126,36,2018
14,-125,24,2018
15,-124,30,2018
16,-123,17,2018
17,-122,27,2018
18,-121,26,2018
19,-120,33,2018
20,-119,30,2018
21,-118,37,2018
22,-117,35,2018
23,-116,34,2018
24,-115,43,2018
25,-114,57,2018
26,-113,50,2018
27,-112,57,2018
28,-111,51,2018
29,-110,67,2018
30,-109,47,2018
31,-108,66,2018
32,-107,42,2018
33,-106,64,2018
34,-105,59,2018
35,-104,73,2018
36,-103,42,2018
37,-102,73,2018
38,-101,67,2018
39,-100,57,2018
40,-99,91,2018
41,-98,79,2018
42,-97,78,2018
43,-96,84,2018
44,-95,108,2018
45,-94,92,2018
46,-93,87,2018
47,-92,125,2018
48,-91,100,2018
49,-90,113,2018
50,-89,125,2018
51,-88,158,2018
52,-87,107,2018
53,-86,138,2018
54,-85,132,2018
55,-84,116,2018
56,-83,152,2018
57,-82,165,2018
58,-81,136,2018
59,-80,151,2018
60,-79,201,2018
61,-78,206,2018
62,-77,187,2018
63,-76,144,2018
64,-75,226,2018
65,-74,203,2018
66,-73,248,2018
67,-72,237,2018
68,-71,255,2018
69,-70,217,2018
70,-69,220,2018
71,-68,283,2018
72,-67,285,2018
73,-66,274,2018
74,-65,300,2018
75,-64,302,2018
76,-63,355,2018
77,-62,301,2018
78,-61,358,2018
79,-60,377,2018
80,-59,417,2018
81,-58,410,2018
82,-57,433,2018
83,-56,453,2018
84,-55,486,2018
85,-54,458,2018
86,-53,466,2018
87,-52,449,2018
88,-51,500,2018
89,-50,566,2018
90,-49,525,2018
91,-48,626,2018
92,-47,592,2018
93,-46,665,2018
94,-45,719,2018
95,-44,700,2018
96,-43,721,2018
97,-42,753,2018
98,-41,792,2018
99,-40,861,2018
100,-39,833,2018
101,-38,905,2018
102,-37,973,2018
103,-36,939,2018
104,-35,1121,2018
105,-34,1104,2018
106,-33,1162,2018
107,-32,1294,2018
108,-31,1237,2018
109,-30,1336,2018
110,-29,1490,2018
111,-28,1469,2018
112,-27,1649,2018
113,-26,1647,2018
114,-25,1803,2018
115,-24,1842,2018
116,-23,2049,2018
117,-22,2090,2018
118,-21,2208,2018
119,-20,2315,2018
120,-19,2479,2018
121,-18,2585,2018
122,-17,2623,2018
123,-16,2886,2018
124,-15,3123,2018
125,-14,3094,2018
126,-13,3327,2018
127,-12,3455,2018
128,-11,3821,2018
129,-10,4066,2018
130,-9,4179,2018
131,-8,4357,2018
132,-7,4627,2018
133,-6,5071,2018
134,-5,5413,2018
135,-4,5659,2018
136,-3,6190,2018
137,-2,6381,2018
138,-1,6888,2018
139,0,15328,2018
140,1,8457,2018
141,2,8958,2018
142,3,9808,2018
143,4,10904,2018
144,5,12110,2018
145,6,13245,2018
146,7,15282,2018
147,8,17185,2018
148,9,20032,2018
149,10,22880,2018
150,11,25883,2018
151,12,29511,2018
152,13,35165,2018
153,14,42467,2018
154,15,51529,2018
155,16,61092,2018
156,17,67711,2018
157,18,70543,2018
158,19,74545,2018
159,20,79094,2018
160,21,84047,2018
161,22,89370,2018
162,23,96186,2018
163,24,104342,2018
164,25,114999,2018
165,26,132528,2018
166,27,162914,2018
167,28,227535,2018
168,29,246009,2018
169,30,285939,2018
170,31,285438,2018
171,32,286318,2018
172,33,291857,2018
173,34,295827,2018
174,35,282393,2018
175,36,255296,2018
176,37,226211,2018
177,38,194808,2018
178,39,159924,2018
179,40,124246,2018
180,41,87590,2018
181,42,52238,2018
182,43,27072,2018
183,44,12489,2018
184,45,5090,2018
185,46,1796,2018
186,47,785,2018
187,48,344,2018
188,49,161,2018
189,50,58,2018
190,51,28,2018
191,52,14,2018
192,53,14,2018
193,54,9,2018
194,55,15,2018
195,56,8,2018
196,57,7,2018
197,58,4,2018
0,-139,7,2019
1,-137,6,2019
2,-136,1,2019
3,-135,6,2019
4,-134,6,2019
5,-133,4,2019
6,-132,7,2019
7,-131,3,2019
8,-130,2,2019
9,-129,3,2019
10,-128,2,2019
11,-127,1,2019
12,-126,1,2019
13,-125,2,2019
14,-124,4,2019
15,-123,2,2019
16,-122,2,2019
17,-120,1,2019
18,-119,6,2019
19,-118,5,2019
20,-117,9,2019
21,-116,5,2019
22,-115,6,2019
23,-114,3,2019
24,-113,4,2019
25,-112,3,2019
26,-111,5,2019
27,-110,6,2019
28,-109,8,2019
29,-108,8,2019
30,-107,10,2019
31,-106,17,2019
32,-105,8,2019
33,-104,3,2019
34,-103,6,2019
35,-102,9,2019
36,-101,6,2019
37,-100,9,2019
38,-99,11,2019
39,-98,7,2019
40,-97,15,2019
41,-96,11,2019
42,-95,9,2019
43,-94,19,2019
44,-93,12,2019
45,-92,14,2019
46,-91,10,2019
47,-90,10,2019
48,-89,9,2019
49,-88,7,2019
50,-87,8,2019
51,-86,24,2019
52,-85,11,2019
53,-84,23,2019
54,-83,18,2019
55,-82,12,2019
56,-81,8,2019
57,-80,5,2019
58,-79,14,2019
59,-78,20,2019
60,-77,27,2019
61,-76,23,2019
62,-75,31,2019
63,-74,30,2019
64,-73,28,2019
