OID,Value,Count,year
0,21,15,2018
1,22,2822,2018
2,23,80189,2018
3,24,262220,2018
4,25,148674,2018
5,26,117060,2018
6,27,113612,2018
7,28,98258,2018
8,29,51445,2018
9,30,24033,2018
10,31,11889,2018
11,32,2717,2018
12,33,489,2018
13,34,101,2018
14,35,19,2018
15,36,9,2018
16,37,4,2018
17,39,2,2018
0,-139,11,2019
1,-138,10,2019
2,-137,6,2019
3,-136,3,2019
4,-135,6,2019
5,-134,8,2019
6,-133,7,2019
7,-132,13,2019
8,-131,4,2019
9,-130,9,2019
10,-129,11,2019
11,-128,8,2019
12,-127,12,2019
13,-126,7,2019
14,-125,7,2019
15,-124,2,2019
16,-123,4,2019
17,-122,5,2019
18,-121,8,2019
19,-120,7,2019
20,-119,11,2019
21,-118,13,2019
22,-117,8,2019
23,-116,18,2019
24,-115,7,2019
25,-114,15,2019
26,-113,16,2019
27,-112,19,2019
28,-111,15,2019
29,-110,12,2019
30,-109,17,2019
31,-108,24,2019
32,-107,25,2019
33,-106,36,2019
34,-105,11,2019
35,-104,20,2019
36,-103,10,2019
37,-102,23,2019
38,-101,32,2019
39,-100,7,2019
40,-99,23,2019
41,-98,22,2019
42,-97,21,2019
43,-96,30,2019
44,-95,22,2019
45,-94,24,2019
46,-93,27,2019
47,-92,29,2019
48,-91,39,2019
49,-90,43,2019
50,-89,37,2019
51,-88,26,2019
52,-87,32,2019
53,-86,48,2019
54,-85,32,2019
55,-84,43,2019
56,-83,33,2019
57,-82,41,2019
58,-81,48,2019
59,-80,46,2019
60,-79,59,2019
61,-78,42,2019
62,-77,64,2019
63,-76,49,2019
64,-75,68,2019
65,-74,57,2019
66,-73,85,2019
67,-72,78,2019
68,-71,75,2019
69,-70,68,2019
70,-69,54,2019
71,-68,69,2019
72,-67,85,2019
73,-66,71,2019
74,-65,80,2019
75,-64,88,2019
76,-63,101,2019
77,-62,106,2019
78,-61,93,2019
79,-60,96,2019
80,-59,100,2019
81,-58,105,2019
82,-57,103,2019
83,-56,119,2019
84,-55,125,2019
85,-54,117,2019
86,-53,119,2019
87,-52,137,2019
88,-51,137,2019
89,-50,148,2019
90,-49,157,2019
91,-48,150,2019
92,-47,168,2019
93,-46,179,2019
94,-45,166,2019
95,-44,183,2019
96,-43,189,2019
97,-42,196,2019
98,-41,204,2019
99,-40,229,2019
100,-39,220,2019
101,-38,219,2019
