year,Time,Location,mean,min,max,range,sd,median,P90
2018,Daytime,College Station,27.19,0.21,44.33,44.12,7.73,28.67,36
2019,Daytime,College Station,18.53,8.23,25.63,17.4,3.11,18.81,22.45
2020,Daytime,College Station,30.53,18.37,36.99,18.62,2.93,31.03,33.65
2021,Daytime,College Station,31.82,15.65,50.37,34.72,4.99,32.77,37.15
2022,Daytime,College Station,21.02,-54.87,43.19,98.06,18.74,31.63,37.25
2023,Daytime,College Station,21.82,16.53,26.45,9.92,1.49,21.97,23.63
2018,Daytime,Houston,34.68,9.69,58,48.32,6.69,36.33,41.69
2019,Daytime,Houston,27.55,-13.27,33.93,47.2,1.88,27.57,28.97
2020,Daytime,Houston,31.7,17.73,43.65,25.92,2.72,32.21,34.67
2021,Daytime,Houston,31.3,1.25,56.71,55.46,6.32,32.83,37.53
2022,Daytime,Houston,27.22,-137.69,116.85,254.54,10.55,30.51,34.65
2023,Daytime,Houston,24.43,17.95,32.99,15.04,1.73,24.43,26.27
2018,Daytime,SHNF,21.8,-137.61,40.5,40.5,11.76,25.39,31.07
2019,Daytime,SHNF,24.07,15.75,30.71,14.96,1.21,24.09,25.23
2020,Daytime,SHNF,27.35,18.41,52.91,34.5,2.37,27.55,29.93
2021,Daytime,SHNF,28.76,6.93,42.41,35.48,3.82,29.33,32.61
2022,Daytime,SHNF,25.45,-22.25,43.65,65.9,8.74,28.49,31.25
2023,Daytime,SHNF,19.34,13.85,31.43,17.58,1.85,19.19,21.19
