year,time,location,mean,min,max,range,sd,median,P90
2018,Nighttime,College Station,27.14,23.43,32.33,8.9,1.24,27.15,28.71
2019,Nighttime,College Station,27.63,22.79,33.57,10.78,1.51,27.65,29.57
2020,Nighttime,College Station,24.22,15.33,28.11,12.78,1.09,24.21,25.45
2021,Nighttime,College Station,27.66,22.83,32.79,9.96,1.23,27.63,29.29
2022,Nighttime,College Station,29.86,-133.17,111.83,245,8.76,32.35,33.35
2023,Nighttime,College Station,48.1,37.17,56.55,19.38,2.55,48.49,50.89
2018,Nighttime,Houston,27.8,21.31,39.37,18.06,1.53,27.69,29.77
2019,Nighttime,Houston,20.71,-139.77,37.01,176.78,13.58,25.01,28.23
2020,Nighttime,Houston,15.89,-138.89,203.31,342.2,11.41,19.83,22.21
2021,Nighttime,Houston,27.47,-138.05,151.58,289.64,8.6,29.41,31.55
2022,Nighttime,Houston,30.92,-2.99,43.11,46.1,4.01,31.81,34.69
2023,Nighttime,Houston,47.41,-74.63,189.21,263.84,4.88,48.09,52.59
2018,Nighttime,SHNF,24.74,21.43,32.63,11.2,1.04,24.61,25.69
2019,Nighttime,SHNF,22.13,-139.67,33.41,173.08,8.37,24.03,25.55
2020,Nighttime,SHNF,20.94,-4.05,28.19,32.24,1.63,21.15,22.15
2021,Nighttime,SHNF,13.23,-139.71,1024.49,1164.2,18.23,19.43,25.99
2022,Nighttime,SHNF,12.54,-139.71,77.15,216.86,24.05,20.97,32.43
2023,Nighttime,SHNF,41.71,19.43,54.55,35.12,2.62,40.97,45.53
